case_id,domain,gold_label,decision,is_correct,sigma_phi,is_uncertain,claim_text,n_raw_arguments,n_kept_arguments,n_neutral_arguments,n_relations,n_phi_edges,n_strengths,mean_tau,parse_error
test_0000,hearsay,No,No,True,0.37575,False,Is the statement described in this narrative hearsay under FRE 801(c)?,3,3,0,4,3,3,0.8333333333333334,
test_0001,hearsay,No,No,True,0.0037499999999999756,False,Is the statement described in this narrative hearsay under FRE 801(c)?,3,3,0,3,3,3,0.7999999999999999,
test_0002,hearsay,No,No,True,0.0008437499999999765,False,Is the statement described in this narrative hearsay under FRE 801(c)?,3,3,0,4,3,3,0.7666666666666666,
test_0003,hearsay,No,No,True,0.0005625000000000213,False,Is the statement described in this narrative hearsay under FRE 801(c)?,3,3,0,4,3,3,0.7999999999999999,
test_0004,hearsay,No,No,True,0.4272500000000001,False,Is the statement described in this narrative hearsay under FRE 801(c)?,3,3,0,4,3,3,0.8333333333333334,
test_0005,hearsay,No,No,True,0.0003750000000000142,False,Is the statement described in this narrative hearsay under FRE 801(c)?,4,4,0,4,4,4,0.825,
test_0006,hearsay,No,No,True,4.500000000001725e-05,False,Is the statement described in this narrative hearsay under FRE 801(c)?,4,3,1,5,3,3,0.85,
test_0007,hearsay,No,No,True,0.07500000000000007,False,Is the statement described in this narrative hearsay under FRE 801(c)?,3,3,0,3,3,3,0.55,
test_0008,hearsay,No,Yes,False,0.5920000000000001,False,Is the statement described in this narrative hearsay under FRE 801(c)?,4,3,1,5,3,3,0.6333333333333333,
test_0009,hearsay,No,No,True,1.6875000000138307e-06,False,Is the statement described in this narrative hearsay under FRE 801(c)?,3,3,0,5,3,3,0.8666666666666667,
test_0010,hearsay,No,No,True,0.39425,False,Is the statement described in this narrative hearsay under FRE 801(c)?,3,3,0,5,3,3,0.7833333333333333,
test_0011,hearsay,No,No,True,0.42500600000000005,False,Is the statement described in this narrative hearsay under FRE 801(c)?,4,4,0,6,4,4,0.85,
test_0012,hearsay,No,No,True,0.0037499999999999756,False,Is the statement described in this narrative hearsay under FRE 801(c)?,3,3,0,3,3,3,0.7999999999999999,
test_0013,hearsay,No,No,True,2.2499999999814335e-06,False,Is the statement described in this narrative hearsay under FRE 801(c)?,3,3,0,5,3,3,0.85,
test_0014,hearsay,No,No,True,0.0005625000000000213,False,Is the statement described in this narrative hearsay under FRE 801(c)?,3,3,0,4,3,3,0.7999999999999999,
test_0015,hearsay,No,No,True,0.0022499999999999742,False,Is the statement described in this narrative hearsay under FRE 801(c)?,3,3,0,3,3,3,0.8333333333333334,
test_0016,hearsay,No,No,True,0.01874999999999999,False,Is the statement described in this narrative hearsay under FRE 801(c)?,3,2,1,2,2,2,0.8,
test_0017,hearsay,No,No,True,0.01874999999999999,False,Is the statement described in this narrative hearsay under FRE 801(c)?,2,2,0,2,2,2,0.8,
test_0018,hearsay,No,Yes,False,0.6355,False,Is the statement described in this narrative hearsay under FRE 801(c)?,3,3,0,3,3,3,0.10000000000000002,
test_0019,hearsay,No,UNCERTAIN,True,0.46275,True,Is the statement described in this narrative hearsay under FRE 801(c)?,4,4,0,5,4,4,0.825,
test_0020,hearsay,No,No,True,0.253125,False,Is the statement described in this narrative hearsay under FRE 801(c)?,3,3,0,4,3,3,0.7166666666666667,
test_0021,hearsay,No,No,True,0.0015000000000000013,False,Is the statement described in this narrative hearsay under FRE 801(c)?,3,3,0,3,3,3,0.85,
