case_id,domain,gold_label,decision,is_correct,sigma_phi,is_uncertain,claim_text,n_raw_arguments,n_kept_arguments,n_neutral_arguments,n_relations,n_phi_edges,n_strengths,mean_tau,parse_error
test_0000,contract_nli,Yes,Yes,True,0.9975,False,"Does the CONTRACT CONTEXT logically entail the EXACT TARGET STATEMENT, with every material element matched and no missing limitation, exception, party-scope mismatch, information-type mismatch, purpose limitation, recipient-scope mismatch, or disclosure carve-out?",3,3,0,3,3,3,0.8166666666666668,
test_0001,contract_nli,Yes,Yes,True,0.6142500000000001,False,"Does the CONTRACT CONTEXT logically entail the EXACT TARGET STATEMENT, with every material element matched and no missing limitation, exception, party-scope mismatch, information-type mismatch, purpose limitation, recipient-scope mismatch, or disclosure carve-out?",4,3,1,4,3,3,0.85,
test_0002,contract_nli,Yes,Yes,True,0.99999915625,False,"Does the CONTRACT CONTEXT logically entail the EXACT TARGET STATEMENT, with every material element matched and no missing limitation, exception, party-scope mismatch, information-type mismatch, purpose limitation, recipient-scope mismatch, or disclosure carve-out?",3,3,0,5,3,3,0.8666666666666667,
test_0003,contract_nli,Yes,UNCERTAIN,False,0.49749999999999994,True,"Does the CONTRACT CONTEXT logically entail the EXACT TARGET STATEMENT, with every material element matched and no missing limitation, exception, party-scope mismatch, information-type mismatch, purpose limitation, recipient-scope mismatch, or disclosure carve-out?",4,4,0,4,4,4,0.7125,
test_0004,contract_nli,Yes,Yes,True,0.9975,False,"Does the CONTRACT CONTEXT logically entail the EXACT TARGET STATEMENT, with every material element matched and no missing limitation, exception, party-scope mismatch, information-type mismatch, purpose limitation, recipient-scope mismatch, or disclosure carve-out?",4,2,2,2,2,2,0.925,
test_0005,contract_nli,Yes,Yes,True,0.57125,False,"Does the CONTRACT CONTEXT logically entail the EXACT TARGET STATEMENT, with every material element matched and no missing limitation, exception, party-scope mismatch, information-type mismatch, purpose limitation, recipient-scope mismatch, or disclosure carve-out?",4,4,0,4,4,4,0.8,
test_0006,contract_nli,Yes,Yes,True,0.6420065,False,"Does the CONTRACT CONTEXT logically entail the EXACT TARGET STATEMENT, with every material element matched and no missing limitation, exception, party-scope mismatch, information-type mismatch, purpose limitation, recipient-scope mismatch, or disclosure carve-out?",4,4,0,6,4,4,0.8125,
test_0007,contract_nli,Yes,No,False,0.40037500000000004,False,"Does the CONTRACT CONTEXT logically entail the EXACT TARGET STATEMENT, with every material element matched and no missing limitation, exception, party-scope mismatch, information-type mismatch, purpose limitation, recipient-scope mismatch, or disclosure carve-out?",4,4,0,4,4,4,0.875,
test_0008,contract_nli,Yes,Yes,True,0.6497,False,"Does the CONTRACT CONTEXT logically entail the EXACT TARGET STATEMENT, with every material element matched and no missing limitation, exception, party-scope mismatch, information-type mismatch, purpose limitation, recipient-scope mismatch, or disclosure carve-out?",4,4,0,5,4,4,0.7625,
test_0009,contract_nli,Yes,No,False,1.898437499980865e-06,False,"Does the CONTRACT CONTEXT logically entail the EXACT TARGET STATEMENT, with every material element matched and no missing limitation, exception, party-scope mismatch, information-type mismatch, purpose limitation, recipient-scope mismatch, or disclosure carve-out?",4,4,0,6,4,4,0.8125,
test_0010,contract_nli,Yes,No,False,7.499999999999174e-05,False,"Does the CONTRACT CONTEXT logically entail the EXACT TARGET STATEMENT, with every material element matched and no missing limitation, exception, party-scope mismatch, information-type mismatch, purpose limitation, recipient-scope mismatch, or disclosure carve-out?",5,4,1,4,4,4,0.875,
test_0011,contract_nli,Yes,No,False,0.40000421875000003,False,"Does the CONTRACT CONTEXT logically entail the EXACT TARGET STATEMENT, with every material element matched and no missing limitation, exception, party-scope mismatch, information-type mismatch, purpose limitation, recipient-scope mismatch, or disclosure carve-out?",4,4,0,6,4,4,0.825,
test_0012,contract_nli,Yes,No,False,5.625000000009095e-06,False,"Does the CONTRACT CONTEXT logically entail the EXACT TARGET STATEMENT, with every material element matched and no missing limitation, exception, party-scope mismatch, information-type mismatch, purpose limitation, recipient-scope mismatch, or disclosure carve-out?",4,3,1,5,3,3,0.9,
test_0013,contract_nli,Yes,UNCERTAIN,False,0.5,True,"Does the CONTRACT CONTEXT logically entail the EXACT TARGET STATEMENT, with every material element matched and no missing limitation, exception, party-scope mismatch, information-type mismatch, purpose limitation, recipient-scope mismatch, or disclosure carve-out?",0,0,0,0,0,0,0.0,Request timed out.
test_0014,contract_nli,Yes,No,False,0.43209374999999994,False,"Does the CONTRACT CONTEXT logically entail the EXACT TARGET STATEMENT, with every material element matched and no missing limitation, exception, party-scope mismatch, information-type mismatch, purpose limitation, recipient-scope mismatch, or disclosure carve-out?",4,4,0,6,4,4,0.8625,
test_0015,contract_nli,Yes,No,False,0.404425,False,"Does the CONTRACT CONTEXT logically entail the EXACT TARGET STATEMENT, with every material element matched and no missing limitation, exception, party-scope mismatch, information-type mismatch, purpose limitation, recipient-scope mismatch, or disclosure carve-out?",5,5,0,8,5,5,0.82,
test_0016,contract_nli,Yes,No,False,0.37500003125,False,"Does the CONTRACT CONTEXT logically entail the EXACT TARGET STATEMENT, with every material element matched and no missing limitation, exception, party-scope mismatch, information-type mismatch, purpose limitation, recipient-scope mismatch, or disclosure carve-out?",4,4,0,6,4,4,0.8875,
test_0017,contract_nli,Yes,Yes,True,0.9999999296875,False,"Does the CONTRACT CONTEXT logically entail the EXACT TARGET STATEMENT, with every material element matched and no missing limitation, exception, party-scope mismatch, information-type mismatch, purpose limitation, recipient-scope mismatch, or disclosure carve-out?",4,4,0,6,4,4,0.8375,
test_0018,contract_nli,Yes,Yes,True,0.99999985,False,"Does the CONTRACT CONTEXT logically entail the EXACT TARGET STATEMENT, with every material element matched and no missing limitation, exception, party-scope mismatch, information-type mismatch, purpose limitation, recipient-scope mismatch, or disclosure carve-out?",4,4,0,6,4,4,0.8625,
test_0019,contract_nli,Yes,Yes,True,0.640008125,False,"Does the CONTRACT CONTEXT logically entail the EXACT TARGET STATEMENT, with every material element matched and no missing limitation, exception, party-scope mismatch, information-type mismatch, purpose limitation, recipient-scope mismatch, or disclosure carve-out?",4,4,0,6,4,4,0.8,
test_0020,contract_nli,Yes,UNCERTAIN,False,0.45008,True,"Does the CONTRACT CONTEXT logically entail the EXACT TARGET STATEMENT, with every material element matched and no missing limitation, exception, party-scope mismatch, information-type mismatch, purpose limitation, recipient-scope mismatch, or disclosure carve-out?",4,4,0,6,4,4,0.8500000000000001,
test_0021,contract_nli,Yes,UNCERTAIN,False,0.5,True,"Does the CONTRACT CONTEXT logically entail the EXACT TARGET STATEMENT, with every material element matched and no missing limitation, exception, party-scope mismatch, information-type mismatch, purpose limitation, recipient-scope mismatch, or disclosure carve-out?",0,0,0,0,0,0,0.0,Request timed out.
test_0022,contract_nli,Yes,Yes,True,0.9999999996835938,False,"Does the CONTRACT CONTEXT logically entail the EXACT TARGET STATEMENT, with every material element matched and no missing limitation, exception, party-scope mismatch, information-type mismatch, purpose limitation, recipient-scope mismatch, or disclosure carve-out?",4,4,0,7,4,4,0.9,
test_0023,contract_nli,Yes,Yes,True,0.998875,False,"Does the CONTRACT CONTEXT logically entail the EXACT TARGET STATEMENT, with every material element matched and no missing limitation, exception, party-scope mismatch, information-type mismatch, purpose limitation, recipient-scope mismatch, or disclosure carve-out?",4,3,1,3,3,3,0.8666666666666667,
test_0024,contract_nli,Yes,Yes,True,0.99996625,False,"Does the CONTRACT CONTEXT logically entail the EXACT TARGET STATEMENT, with every material element matched and no missing limitation, exception, party-scope mismatch, information-type mismatch, purpose limitation, recipient-scope mismatch, or disclosure carve-out?",4,4,0,5,4,4,0.825,
test_0025,contract_nli,Yes,Yes,True,0.698464,False,"Does the CONTRACT CONTEXT logically entail the EXACT TARGET STATEMENT, with every material element matched and no missing limitation, exception, party-scope mismatch, information-type mismatch, purpose limitation, recipient-scope mismatch, or disclosure carve-out?",4,4,0,6,4,4,0.825,
test_0026,contract_nli,Yes,No,False,0.009499999999999953,False,"Does the CONTRACT CONTEXT logically entail the EXACT TARGET STATEMENT, with every material element matched and no missing limitation, exception, party-scope mismatch, information-type mismatch, purpose limitation, recipient-scope mismatch, or disclosure carve-out?",4,4,0,7,4,4,0.8125,
test_0027,contract_nli,Yes,No,False,0.00022499999999997522,False,"Does the CONTRACT CONTEXT logically entail the EXACT TARGET STATEMENT, with every material element matched and no missing limitation, exception, party-scope mismatch, information-type mismatch, purpose limitation, recipient-scope mismatch, or disclosure carve-out?",4,4,0,4,4,4,0.85,
test_0028,contract_nli,Yes,Yes,True,0.6495000000000001,False,"Does the CONTRACT CONTEXT logically entail the EXACT TARGET STATEMENT, with every material element matched and no missing limitation, exception, party-scope mismatch, information-type mismatch, purpose limitation, recipient-scope mismatch, or disclosure carve-out?",4,4,0,4,4,4,0.8375,
test_0029,contract_nli,Yes,Yes,True,0.999625,False,"Does the CONTRACT CONTEXT logically entail the EXACT TARGET STATEMENT, with every material element matched and no missing limitation, exception, party-scope mismatch, information-type mismatch, purpose limitation, recipient-scope mismatch, or disclosure carve-out?",4,4,0,4,4,4,0.825,
test_0030,contract_nli,Yes,Yes,True,0.999999375,False,"Does the CONTRACT CONTEXT logically entail the EXACT TARGET STATEMENT, with every material element matched and no missing limitation, exception, party-scope mismatch, information-type mismatch, purpose limitation, recipient-scope mismatch, or disclosure carve-out?",4,3,1,5,3,3,0.9333333333333332,
test_0031,contract_nli,Yes,Yes,True,0.601375,False,"Does the CONTRACT CONTEXT logically entail the EXACT TARGET STATEMENT, with every material element matched and no missing limitation, exception, party-scope mismatch, information-type mismatch, purpose limitation, recipient-scope mismatch, or disclosure carve-out?",4,4,0,5,4,4,0.775,
test_0032,contract_nli,Yes,Yes,True,0.9999962499999999,False,"Does the CONTRACT CONTEXT logically entail the EXACT TARGET STATEMENT, with every material element matched and no missing limitation, exception, party-scope mismatch, information-type mismatch, purpose limitation, recipient-scope mismatch, or disclosure carve-out?",4,4,0,5,4,4,0.875,
test_0033,contract_nli,Yes,UNCERTAIN,False,0.47080000000000005,True,"Does the CONTRACT CONTEXT logically entail the EXACT TARGET STATEMENT, with every material element matched and no missing limitation, exception, party-scope mismatch, information-type mismatch, purpose limitation, recipient-scope mismatch, or disclosure carve-out?",4,4,0,6,4,4,0.75,
test_0034,contract_nli,Yes,Yes,True,1.0,False,"Does the CONTRACT CONTEXT logically entail the EXACT TARGET STATEMENT, with every material element matched and no missing limitation, exception, party-scope mismatch, information-type mismatch, purpose limitation, recipient-scope mismatch, or disclosure carve-out?",4,4,0,4,4,4,0.9125,
test_0035,contract_nli,Yes,Yes,True,0.64928,False,"Does the CONTRACT CONTEXT logically entail the EXACT TARGET STATEMENT, with every material element matched and no missing limitation, exception, party-scope mismatch, information-type mismatch, purpose limitation, recipient-scope mismatch, or disclosure carve-out?",5,5,0,7,5,5,0.8400000000000001,
test_0036,contract_nli,Yes,Yes,True,0.9998750000000001,False,"Does the CONTRACT CONTEXT logically entail the EXACT TARGET STATEMENT, with every material element matched and no missing limitation, exception, party-scope mismatch, information-type mismatch, purpose limitation, recipient-scope mismatch, or disclosure carve-out?",4,3,1,3,3,3,0.9333333333333332,
test_0037,contract_nli,Yes,Yes,True,0.999999915625,False,"Does the CONTRACT CONTEXT logically entail the EXACT TARGET STATEMENT, with every material element matched and no missing limitation, exception, party-scope mismatch, information-type mismatch, purpose limitation, recipient-scope mismatch, or disclosure carve-out?",4,4,0,6,4,4,0.875,
test_0038,contract_nli,Yes,UNCERTAIN,False,0.5,True,"Does the CONTRACT CONTEXT logically entail the EXACT TARGET STATEMENT, with every material element matched and no missing limitation, exception, party-scope mismatch, information-type mismatch, purpose limitation, recipient-scope mismatch, or disclosure carve-out?",0,0,0,0,0,0,0.0,Request timed out.
test_0039,contract_nli,Yes,UNCERTAIN,False,0.50425,True,"Does the CONTRACT CONTEXT logically entail the EXACT TARGET STATEMENT, with every material element matched and no missing limitation, exception, party-scope mismatch, information-type mismatch, purpose limitation, recipient-scope mismatch, or disclosure carve-out?",4,4,0,6,4,4,0.825,
test_0040,contract_nli,Yes,Yes,True,0.9999999625,False,"Does the CONTRACT CONTEXT logically entail the EXACT TARGET STATEMENT, with every material element matched and no missing limitation, exception, party-scope mismatch, information-type mismatch, purpose limitation, recipient-scope mismatch, or disclosure carve-out?",4,4,0,6,4,4,0.875,
test_0041,contract_nli,No,No,True,5.625000000009095e-06,False,"Does the CONTRACT CONTEXT logically entail the EXACT TARGET STATEMENT, with every material element matched and no missing limitation, exception, party-scope mismatch, information-type mismatch, purpose limitation, recipient-scope mismatch, or disclosure carve-out?",4,3,1,5,3,3,0.9,
test_0042,contract_nli,No,No,True,2.0249999999999435e-05,False,"Does the CONTRACT CONTEXT logically entail the EXACT TARGET STATEMENT, with every material element matched and no missing limitation, exception, party-scope mismatch, information-type mismatch, purpose limitation, recipient-scope mismatch, or disclosure carve-out?",4,4,0,6,4,4,0.8125,
